"101","der","Punkt","dot, point, period"
"102","die","Situation","situation"
"103","der","Lehrer","teacher"
"104","der","Preis","price, prize"
"105","die","Abbildung","illustration"
"106","der","Begriff","concept, idea, term"
"107","die","Funktion","function"
"108","der","Boden","ground, floor, bottom"
"109","das","Jahrhundert","century"
"110","der","Sohn","son"
"111","das","Werk","work"
"112","die","Stimme","voice, vote"
"113","der","Rahmen","frame, framework"
"114","die","Richtung","direction"
"115","das","Programm","program"
"116","die","Angst","fear, anxiety"
"117","die","Information","information"
"118","die","Kunst","art"
"119","die","Musik","music"
"120","die","Politik","politics"
"121","der","Beruf","occupation, job, profession"
"122","die","Regel","rule"
"123","der","Schritt","step"
"124","der","Absatz","sales, paragraph, heel"
"125","der","Gott","god"
"126","das","Auto","automobile, car"
"127","die","Beziehung","relation, relationship"
"128","die","Erfahrung","experience"
"129","der","Tisch","table"
"130","die","Zukunft","future"
"131","das","Spiel","game"
"132","das","Gefühl","feeling"
"133","das","Licht","light"
"134","der","Präsident","president"
"135","der","Markt","market"
"136","die","Bank","bank, bench"
"137","die","Partei","political party"
"138","die","Tochter","daughter"
"139","das","Verhältnis","relationship"
"140","die","Kirche","church"
"141","der","Film","film"
"142","der","Gedanke","thought"
"143","der","Doktor","doctor"
"144","das","Mädchen","girl"
"145","die","Entscheidung","decision"
"146","der","Prozess","trial, process"
"147","der","Betrieb","business, operation"
"148","der","Zusammenhang","connection, context"
"149","das","Gesetz","law"
"150","der","Arm","arm"
"151","die","Firma","firm, company"
"152","die","Kraft","strength, power"
"153","der","Student","student"
"154","das","Zuhause","home"
"155","die","Chance","chance"
"156","die","Zeitung","newspaper"
"157","der","Erfolg","success"
"158","die","Grenze","border, frontier"
"159","der","Satz","sentence"
"160","das","Angebot","offer"
"161","das","Internet","internet"
"162","die","Kultur","culture"
"163","die","Lage","situation, location"
"164","die","Leistung","performance"
"165","das","Mitglied","member"
"166","das","Projekt","project"
"167","das","Zimmer","room"
"168","der","Chef","head, leader, boss"
"169","der","Zug","train"
"170","der","Arzt","physician, doctor"
"171","das","Auftreten","behavior, conduct, occurrence"
"172","der","Fuß","foot"
"173","der","Körper","body"
"174","die","Klasse","class"
"175","die","Lösung","solution"
"176","das","Verhalten","behavior"
"177","die","Höhe","height, altitude"
"178","der","Junge","boy"
"179","das","Fenster","window"
"180","die","Luft","air"
"181","die","Meinung","opinion"
"182","die","Idee","idea"
"183","das","Produkt","product"
"184","das","Studium","study, studies"
"185","der","Vergleich","comparison"
"186","das","Mittel","means"
"187","das","Modell","model"
"188","die","Natur","nature"
"189","das","Bett","bed"
"190","der","Kunde","customer, client"
"191","der","Mitarbeiter","employee, co-worker"
"192","der","Tod","death"
"193","das","Geschäft","business"
"194","der","Spaß","fun"
"195","die","Wirtschaft","economy, commerce"
"196","das","Tier","animal"
"197","die","Bewegung","movement, motion"
"198","der","Gast","guest"
"199","die","Sicherheit","security, safety"
"200","der","Einsatz","inset, deployment"
