"1301","das","Arbeitsamt","employment office"
"1302","der","Befehl","order"
"1303","die","Bereitschaft","willingness"
"1304","die","Beschwerde","complaint"
"1305","der","Bogen","bow, arc, sheet"
"1306","die","Bundesliga","national sports division"
"1307","die","Droge","drug"
"1308","die","Ehre","honor"
"1309","das","Eigentum","property"
"1310","der","Einzelfall","individual, case"
"1311","die","Epoche","epoch"
"1312","der","Erreger","agent, virus, germ"
"1313","die","Feststellung","observation, remark"
"1314","die","Formulierung","formulation"
"1315","das","Gelände","ground, site"
"1316","der/die","Geliebte","lover"
"1317","die","Geschwister","siblings"
"1318","das","Gramm","gram"
"1319","die","Inszenierung","production, staging"
"1320","der","Kapitän","captain"
"1321","die","Kiste","box, crate"
"1322","der","Knochen","bone"
"1323","der","Kontext","context"
"1324","das","Kunstwerk","work of art"
"1325","das","Lebewesen","living being"
"1326","der","Lastkraftwagen","truck"
"1327","der","Lohn","wage, pay, reward"
"1328","der","Magen","stomach"
"1329","die","Mode","fashion"
"1330","der","Mörder","murderer"
"1331","die","Öffnung","opening, hole"
"1332","die","Partie","game"
"1333","das","Rathaus","town hall"
"1334","die","Reflexion","reflection"
"1335","die","Rente","pension"
"1336","die","Show","show"
"1337","die","Stiftung","foundation, institute, donation"
"1338","der","Teller","plate"
"1339","die","Unterscheidung","differentiation, distinction"
"1340","die","Version","version"
"1341","der","Wähler","voter"
"1342","die","Wechselwirkung","interaction"
"1343","der","Zettel","piece of paper, note"
"1344","der","Zins","interest"
"1345","die","Zone","zone"
"1346","der","Abbau","reduction, decline, mining"
"1347","die","Agentur","agency"
"1348","die","Akademie","academy"
"1349","die","Anfrage","inquiry, request"
"1350","die","Aufführung","performance"
"1351","die","Auflage","edition, condition, plating"
"1352","der","Ausbau","extension, consolidation"
"1353","der","Bär","bear"
"1354","das","Bedenken","concern, doubt"
"1355","der","Buchstabe","letter"
"1356","das","Dokument","document"
"1357","die","Einzelheit","detail"
"1358","die","Erfüllung","fulfillment"
"1359","der","Führer","leader, guide"
"1360","die","Fusion","fusion, merger"
"1361","der","Geruch","smell"
"1362","das","Gleichgewicht","balance"
"1363","der","Investor","investor"
"1364","der","Kerl","fellow, bloke"
"1365","die","Kollegin","colleague"
"1366","der","Komponist","composer"
"1367","die","Kurve","curve"
"1368","das","Labor","laboratory"
"1369","der","Landkreis","district"
"1370","das","Märchen","fairy tale"
"1371","das","Mittelalter","Middle Ages"
"1372","das","Möbel","piece of furniture"
"1373","die","Moderne","modern age"
"1374","der","Nerv","nerve"
"1375","der","Ofen","oven, stove"
"1376","die","Pflege","care"
"1377","die","Plattform","platform"
"1378","der","Posten","post, position"
"1379","der","Profi","pro, professional"
"1380","das","Regime","regime"
"1381","der","Rock","skirt, rock music"
"1382","der","Rücktritt","resignation"
"1383","der","Schrank","cabinet, wardrobe"
"1384","die","Sekretärin","secretary"
"1385","die","Solidarität","solidarity"
"1386","der","Sportler","athlete"
"1387","die","Stabilität","stability"
"1388","der","Status","status"
"1389","der","Staub","dust"
"1390","der","Tanz","dance"
"1391","der","Topf","pot"
"1392","der","Überblick","view, overview"
"1393","die","Unsicherheit","uncertainty"
"1394","der","Vorhang","curtain"
"1395","der","Winkel","angle, corner"
"1396","das","Zitat","quotation, quote"
"1397","das","Abenteuer","adventure"
"1398","die","Abgrenzung","disassociation"
"1399","der","Akt","act"
"1400","der","Akteur","player, actor"
