"901","die","Sitzung","meeting, session"
"902","der","Sturm","storm"
"903","die","Träne","tear"
"904","die","Trauer","grief"
"905","der","Vorstand","board, chairperson"
"906","der","Zufall","chance, coincidence"
"907","die","Zustimmung","approval"
"908","der/die","Angehörige","member, relative"
"909","die","Annahme","acceptance, assumption"
"910","das","Argument","argument"
"911","das","Arzneimittel","medicine"
"912","der","Außenminister","foreign minister"
"913","der","Benutzer","user"
"914","der","Bescheid","information, reply"
"915","die","Blume","flower"
"916","die","Bundeswehr","Armed Forces"
"917","die","Disziplin","discipline"
"918","die","Existenz","existence"
"919","die","Fraktion","parliamentary party"
"920","das","Grundgesetz","basic law"
"921","der","Händler","trader, dealer, retailer"
"922","der","Hinblick","view"
"923","das","Individuum","individual"
"924","die","Katastrophe","catastrophe"
"925","das","Motiv","motive"
"926","der","Musiker","musician"
"927","die","Opposition","opposition"
"928","der","Papa","daddy"
"929","das","Personal","staff"
"930","der","Sand","sand"
"931","die","Station","station"
"932","die","Tendenz","trend"
"933","das","Training","training"
"934","die","Umsetzung","transfer, implementation"
"935","der","Verkäufer","salesman"
"936","die","Versorgung","supply, care"
"937","der","Wandel","change"
"938","das","Wunder","miracle"
"939","die","Angelegenheit","matter, affair"
"940","die","Auskunft","information"
"941","das","Ausmaß","extent, size"
"942","die","Begründung","explanation, justification"
"943","das","Engagement","commitment"
"944","die","Entfernung","distance"
"945","der","Fleck","stain"
"946","die","Handlung","action, plot"
"947","das","Immunsystem","immune system"
"948","der","Koffer","suitcase"
"949","die","Not","need, trouble"
"950","die","Persönlichkeit","personality, celebrity"
"951","der","Schlüssel","key"
"952","der","Schreibtisch","desk"
"953","die","Seele","soul, mind"
"954","der","Unternehmer","employer"
"955","die","Unternehmung","undertaking, venture"
"956","die","Vereinbarung","agreement"
"957","das","Video","video"
"958","die","Wahrnehmung","perception"
"959","der/die","Angestellte","employee"
"960","die","Äußerung","comment"
"961","die","Begegnung","encounter, meeting"
"962","das","Café","coffee house"
"963","die","Datei","data file"
"964","die","Dienstleistung","service"
"965","die","Erzählung","narration, story"
"966","die","Ferne","distance"
"967","das","Gedicht","poem"
"968","die","Gründung","foundation"
"969","der","Keller","cellar"
"970","das","Konto","account"
"971","die","Operation","operation"
"972","die","Qualifikation","qualification"
"973","die","Sammlung","collection"
"974","die","Tonne","ton, barrel"
"975","der","Träger","holder, responsible body"
"976","der","Trend","trend"
"977","die","Variante","variant, variation"
"978","der/die","Verwandte","relative"
"979","die","Vielfalt","diversity"
"980","die","Vielzahl","multitude"
"981","die","Zahlung","payment"
"982","der","Arbeiter","worker"
"983","der","Aufwand","expense, effort"
"984","die","Aufwendungen","expenditure"
"985","der","Bauch","belly"
"986","die","Berechnung","calculation"
"987","der","Bestandteil","continuation, stock, supply"
"988","das","Entwicklungsland","developing nation"
"989","der","Entwurf","sketch, design, draft"
"990","die","Fachhochschule","technical college"
"991","der","Fernseher","television"
"992","die","Finanzierung","financing"
"993","die","Hose","trousers, pants"
"994","der","Impuls","stimulus, impulse"
"995","das","Kapital","capital"
"996","der","Kern","seed, core, nucleus"
"997","der","Motor","motor, engine"
"998","der","Rang","standing, status"
"999","der","Regisseur","director"
"1000","die","Republik","republic"
